name,email,organization_type,website,states_served,notes
Alabama Rural Water Association,info@alarwa.org,nonprofit,https://www.alarwa.org,AL,State rural water association focused on small water systems
Alaska Rural Water Association,info@alaskaruralwater.org,nonprofit,https://alaskaruralwater.org,AK,State rural water association
Arizona Rural Water Association,info@azrwa.org,nonprofit,https://www.azrwa.org,AZ,State rural water association focused on rural drinking water quality
Arkansas Rural Water Association,office@arruralwater.org,nonprofit,https://www.arruralwater.org,AR,State rural water association
California Rural Water Association,info@calruralwater.org,nonprofit,https://www.calruralwater.org,CA,Statewide rural water advocacy
Colorado Rural Water Association,info@corwa.org,nonprofit,https://www.corwa.org,CO,State rural water association
Connecticut Rural Water Association,info@ctruralwater.org,nonprofit,https://ctruralwater.org,CT,State rural water association
Delaware Rural Water Association,info@deruralwater.org,nonprofit,https://deruralwater.org,DE,State rural water association
Florida Rural Water Association,info@frwa.net,nonprofit,https://www.frwa.net,FL,Florida rural water and wastewater systems
Georgia Rural Water Association,info@garwa.org,nonprofit,https://www.garwa.org,GA,State rural water association
Idaho Rural Water Association,info@idrwa.org,nonprofit,https://www.idrwa.org,ID,State rural water association
Illinois Rural Water Association,info@ilrwa.org,nonprofit,https://www.ilrwa.org,IL,State rural water association
Indiana Rural Water Association,info@inrwa.org,nonprofit,https://www.inrwa.org,IN,State rural water association
Iowa Rural Water Association,info@iarwa.org,nonprofit,https://www.iarwa.org,IA,State rural water association
Kansas Rural Water Association,info@krwa.net,nonprofit,https://www.krwa.net,KS,State rural water association
Kentucky Rural Water Association,info@kyrwa.org,nonprofit,https://www.kyrwa.org,KY,State rural water association
Louisiana Rural Water Association,info@lrwa.org,nonprofit,https://www.lrwa.org,LA,State rural water association
Maine Rural Water Association,info@maineruralwater.org,nonprofit,https://maineruralwater.org,ME,State rural water association
Maryland Rural Water Association,info@mdrwa.org,nonprofit,https://www.mdrwa.org,MD,State rural water association
Massachusetts Rural Water Association,info@massruralwater.org,nonprofit,https://massruralwater.org,MA,State rural water association
Michigan Rural Water Association,info@mrwa.com,nonprofit,https://www.mrwa.com,MI,Michigan rural water and wastewater
Minnesota Rural Water Association,info@mrwa.org,nonprofit,https://www.mrwa.org,MN,State rural water association
Mississippi Rural Water Association,info@msruralwater.org,nonprofit,https://msruralwater.org,MS,State rural water association
Missouri Rural Water Association,info@morwa.org,nonprofit,https://www.morwa.org,MO,State rural water association
Nebraska Rural Water Association,info@nrwa.org,nonprofit,https://www.nrwa.org,NE,State rural water association
Nevada Rural Water Association,info@nvrwa.org,nonprofit,https://nvrwa.org,NV,State rural water association
New Hampshire Rural Water Association,info@nhruralwater.org,nonprofit,https://nhruralwater.org,NH,State rural water association
New Jersey Rural Water Association,info@njrwa.org,nonprofit,https://njrwa.org,NJ,State rural water association
New Mexico Rural Water Association,info@nmrwa.org,nonprofit,https://www.nmrwa.org,NM,State rural water association
New York Rural Water Association,info@nyrwa.org,nonprofit,https://www.nyrwa.org,NY,State rural water association
North Carolina Rural Water Association,info@ncrwa.org,nonprofit,https://www.ncrwa.org,NC,State rural water association
North Dakota Rural Water Systems Association,info@ndruralwater.org,nonprofit,https://ndruralwater.org,ND,State rural water association
Ohio Rural Water Association,info@orwa.org,nonprofit,https://www.orwa.org,OH,State rural water association
Oklahoma Rural Water Association,info@okrwa.com,nonprofit,https://www.okrwa.com,OK,State rural water association
Oregon Rural Water Association,info@orwa.net,nonprofit,https://www.orwa.net,OR,State rural water association
Pennsylvania Rural Water Association,info@parwa.org,nonprofit,https://www.parwa.org,PA,State rural water association
Rhode Island Rural Water Association,info@riruralwater.org,nonprofit,https://riruralwater.org,RI,State rural water association
South Carolina Rural Water Association,info@scrwa.org,nonprofit,https://www.scrwa.org,SC,State rural water association
South Dakota Rural Water Systems Association,info@sdrws.org,nonprofit,https://www.sdrws.org,SD,State rural water association
Tennessee Rural Water Association,info@tnruralwater.org,nonprofit,https://www.tnruralwater.org,TN,State rural water association
Texas Rural Water Association,info@trwa.org,nonprofit,https://www.trwa.org,TX,State rural water association — large state with many small systems
Utah Rural Water Association,info@utrwa.org,nonprofit,https://utrwa.org,UT,State rural water association
Vermont Rural Water Association,info@vtrwa.org,nonprofit,https://vtrwa.org,VT,State rural water association
Virginia Rural Water Association,info@varwa.org,nonprofit,https://varwa.org,VA,State rural water association
Washington Rural Water Association,info@warwa.org,nonprofit,https://warwa.org,WA,State rural water association
West Virginia Rural Water Association,info@wvrwa.org,nonprofit,https://wvrwa.org,WV,State rural water association
Wisconsin Rural Water Association,info@wrwa.org,nonprofit,https://www.wrwa.org,WI,State rural water association
Wyoming Rural Water Association,info@wyrwa.org,nonprofit,https://wyrwa.org,WY,State rural water association
Waterkeeper Alliance,info@waterkeeper.org,advocacy,https://waterkeeper.org,CA;NY;NC;FL;TX;WA;OR;MI;PA;OH,National network of waterway advocates
Chesapeake Bay Foundation,cbf@cbf.org,advocacy,https://www.cbf.org,MD;VA;PA,Largest chesapeake bay conservation org — active on drinking water
Clean Water Action,info@cleanwater.org,advocacy,https://www.cleanwater.org,CA;CO;CT;DC;DE;FL;IA;MA;MD;MI;MN;NC;NJ;NY;OH;PA;RI;TX;VA;WI,National water advocacy org with state chapters
Food & Water Watch,info@fwwatch.org,advocacy,https://www.foodandwaterwatch.org,CA;NY;DC;PA;MA;WA;NJ;FL;TX;IL,National food and water safety advocacy
Earthjustice,info@earthjustice.org,advocacy,https://earthjustice.org,CA;NY;MT;CO;WA;AK;FL;TX;PA,Legal advocate on drinking water and PFAS contamination
Clean Water Fund,info@cleanwaterfund.org,nonprofit,https://cleanwaterfund.org,CA;CO;CT;DE;FL;IA;MA;MD;MI;MN;NC;NJ;NY;OH;PA;RI;TX;VA;WI,Drinking water advocacy and public engagement
Natural Resources Defense Council Water Program,nrdcinfo@nrdc.org,advocacy,https://www.nrdc.org/issues/drinking-water,CA;NY;IL;DC;MT;WA;TX;FL,NRDC drinking water program — PFAS litigation leader
American Rivers,info@americanrivers.org,advocacy,https://www.americanrivers.org,CA;OR;WA;CO;MT;ID;MN;WI;PA;VA;NC;GA,River conservation org active on source water protection
Waterfront Alliance,info@waterfrontalliance.org,nonprofit,https://www.waterfrontalliance.org,NY;NJ,NY/NJ waterfront and water quality advocacy
Clean Wisconsin,info@cleanwisconsin.org,advocacy,https://www.cleanwisconsin.org,WI,Wisconsin environmental advocacy — active on PFAS
Texas Campaign for the Environment,info@texasenvironment.org,advocacy,https://www.texasenvironment.org,TX,Texas environmental advocacy including water quality
Environment Texas,info@environmenttexas.org,advocacy,https://environmenttexas.org,TX,Texas clean water advocacy
Conservation Minnesota,info@conservationminnesota.org,advocacy,https://www.conservationminnesota.org,MN,Minnesota water and environment advocacy
Environment Michigan,info@environmentmichigan.org,advocacy,https://www.environmentmichigan.org,MI,Michigan clean water advocacy — PFAS focus
PennEnvironment,info@pennenvironment.org,advocacy,https://pennenvironment.org,PA,Pennsylvania water and environment advocacy
Environment Ohio,info@environmentohio.org,advocacy,https://www.environmentohio.org,OH,Ohio clean water advocacy
Environment California,info@environmentcalifornia.org,advocacy,https://www.environmentcalifornia.org,CA,California water quality advocacy
Environment Illinois,info@environmentillinois.org,advocacy,https://www.environmentillinois.org,IL,Illinois clean water advocacy
Environment New York,info@environmentnewyork.org,advocacy,https://www.environmentnewyork.org,NY,New York water quality advocacy
Environment Colorado,info@environmentcolorado.org,advocacy,https://www.environmentcolorado.org,CO,Colorado clean water advocacy
Environment Virginia,info@environmentvirginia.org,advocacy,https://environmentvirginia.org,VA,Virginia water and environment advocacy
Environment North Carolina,info@environmentnc.org,advocacy,https://www.environmentnc.org,NC,North Carolina water quality advocacy
